block_group,UFP_mean,asian_non_his,hispanic_any_race,black_non_hisp,two_or_more_race,white_non_his,american_indian,house_less20k,house_20_35k,house_35_50k,house_50_75k,house_more_75,education_less_highschool,education_highschool,education_some_college,education_college_degree,education_graduate,age_less_5_male,age_5_17_male,age_18_65_male,age_more_65_male,age_less_5_female,age_5_17_female,age_18_65_female,age_more_65_female,pm25,no2
420035623001,11112.513040485577,0,0,67,0,88,0,88,0,0,0,21,32,47,41,0,9,14,0,85,0,0,0,21,35,10.8425971119134,10.4456891696751
420031517005,11248.059363236756,51,165,33,0,682,0,106,75,90,82,118,33,156,121,137,230,25,44,421,41,18,20,333,41,10.5100891712707,11.2002583425414
420035631001,11421.399858472318,32,0,82,63,1013,0,58,67,47,73,238,46,221,192,278,100,71,76,348,44,52,112,403,104,10.1309381010101,9.95474485858586
420035630003,10307.872948448583,0,0,88,25,630,0,39,40,51,76,112,30,289,171,43,33,0,47,241,42,75,28,215,95,9.9804954723127,8.54459723127036
420033001005,11076.038516656326,0,0,345,25,265,0,9,25,85,7,55,62,210,49,0,42,0,106,147,47,17,94,163,61,10.5916264475743,10.944976056338
420035624004,12587.115358508869,0,0,487,5,22,0,81,76,43,17,49,96,131,145,19,59,13,0,163,87,0,22,145,84,11.071860326087,11.4212625
420035624003,10428.060316706731,32,0,578,14,20,0,25,83,26,37,66,12,352,90,0,26,19,38,285,59,0,78,107,58,10.9367321100917,11.2865455657492
420035631002,13180.076984535019,349,49,90,254,1696,0,173,223,101,245,265,300,653,314,342,136,145,80,765,155,136,158,834,173,10.4683643545279,10.1051796242775
420035626003,11433.731914206342,0,0,589,0,319,0,79,83,47,8,111,27,161,198,84,11,66,74,243,42,22,147,260,54,10.2585839694656,9.98464909669211
420031915002,11146.464866493814,39,113,60,44,922,0,159,111,119,112,118,78,280,250,250,58,18,76,556,60,65,32,309,62,10.9671585223116,11.2971929773226
420031914002,11382.239577124017,9,1,109,0,982,0,144,93,69,111,112,17,174,294,151,147,10,21,272,76,9,129,495,92,10.2721602313811,11.0910440347072
